countries,gdp_sum
Albania,92787.866578
Algeria,120957.35313
Angola,59620.213487
Argentina,172234.51704
Armenia,68778.209091
Australia,386448.03351
Austria,412306.5516
Azerbaijan,146081.72505
Bahamas,265577.29989
Bahrain,385789.38645
Bangladesh,25131.118789
Barbados,193700.0
Belarus,18078.09603
Belgium,379782.74903
Belize,72150.989272
Benin,17428.368196
Bhutan,32233.964939999998
Bolivia,54047.26314
Bosnia and Herzegovina,93387.503714
Botswana,130169.95139
Brazil,134091.74531
Brunei Darussalam,563705.06715
Bulgaria,147085.58442
Burkina Faso,13858.096714
Burundi,6659.7570495
Cambodia,21586.390249
Cameroon,28241.172932
Canada,381894.41649
Cape Verde,43112.080653
Central Afr. Rep.,6984.8481825
Chad,17605.280512999998
Chile,184920.00716
China,102867.229509
Colombia,108025.14206
"Congo, Dem. R.",6609.3484709
"Congo, Rep. Of",47869.73452
Costa Rica,126500.72792
Cote d'Ivoire,26419.793154
Croatia,192289.73412
Cyprus,292486.35134
Czech Rep.,271945.17733
Denmark,406191.83516
Dominican Rep.,109225.49222
Ecuador,92661.82872
Egypt,90137.787197
El Salvador,61065.59584
Estonia,229797.49171
Ethiopia,11544.1504011
Fiji,71351.89411
Finland,366084.55073
France,342416.91084
Gabon,147078.87666
"Gambia, The",11273.500324
Georgia,71523.089122
Germany,389625.44397
Ghana,31864.590817
Greece,247216.11356
Guatemala,63911.261178
Guinea,7514.263105
Guinea-Bissau,13022.672358
Guyana,58629.425524
Haiti,14705.14086
Honduras,37985.697134
Hong Kong,462159.11544
Hungary,211654.48837
Iceland,388383.02689
India,45053.049586
Indonesia,84963.81708
Iran,158130.38259
Iraq,17440.44582
Ireland,459741.27640000003
Israel,287355.41765
Italy,324759.54383
Jamaica,74480.516768
Japan,337109.59721
Jordan,82628.550258
Kazakhstan,199216.9388
Kenya,24000.940261
"Korea, South",288715.80389
Kuwait,697966.21816
Kyrgyz Republic,27602.40725
Laos,18405.037724
Latvia,191820.93269000002
Lebanon,104941.80322
Lesotho,23219.03344
Liberia,3873.9358540000003
Libya,70799.63157
Lithuania,220391.28466
Luxembourg,840418.68952
Macedonia,110725.37559
Madagascar,12790.131158
Malawi,9573.381187
Malaysia,208608.46108
Mali,17049.328169
Malta,275866.88641
Mauritania,31786.670297
Mauritius,157378.68121
Mexico,145659.03663
Moldova,39617.358858
Mongolia,88257.680757
Montenegro,133257.63127
Morocco,62195.445348
Mozambique,9162.3085253
Myanmar,38811.934087
Namibia,82799.970065
Nepal,19322.888663
Netherlands,424536.8627
New Zealand,308380.42788
Nicaragua,41058.652248
Niger,7831.1581009
Nigeria,48272.411501
Norway,556401.56591
Oman,389088.74044
Pakistan,40905.062852
Panama,166751.45285
Pap. New Guinea,30654.347401
Paraguay,93843.737483
Peru,98873.86432
Philippines,56091.614416000004
Poland,209634.91032
Portugal,250502.24425
Qatar,888946.4972
Romania,172945.40691
Russia,211737.08492
Rwanda,13926.179321
Saudi Arabia,355886.13682
Senegal,25555.9173
Serbia,118146.42612999999
Seychelles,103987.03045
Sierra Leone,12455.728928
Singapore,691585.26088
Slovak Rep.,241023.45557
Slovenia,267409.58462
South Africa,111279.21087000001
Spain,299296.52562
Sri Lanka,88781.057668
Sudan,4730.461871
Suriname,106673.26748
Swaziland,55315.344476
Sweden,400600.54444
Switzerland,521037.9322
Syria,35350.0
Taiwan,359454.0
Tajikistan,17640.631885
Tanzania,20742.039032
Thailand,130037.08818
Timor-Leste,59879.118818
Togo,12108.218041
Trinidad and Tobago,284371.45166
Tunisia,95780.698834
Turkey,185708.14094
Uganda,14533.090474
Ukraine,73591.445459
United Arab Emirates,577387.5853500001
United Kingdom,345287.52621
United States,466534.23026
Uruguay,167173.53239
Venezuela,152517.42638
Vietnam,44721.354613
"Yemen, Rep.",26073.487176
Zambia,31207.687723
Zimbabwe,17917.348635
